player_id,player,season,team,side,pos,join_string
0800,Sterling Weatherford,2022,IND,DEF,S,Sterling Weatherford IND S
0802,Lucas Krull,2022,NOS,OFF,TE,Lucas Krull NOS TE
0803,Luiji Vilain,2022,MIN,DEF,DE,Luiji Vilain MIN DE
0806,Shakur Brown,2021,PIT,DEF,CB,Shakur Brown PIT CB
0808,Olaijah Griffin,2021,BUF,DEF,CB,Olaijah Griffin BUF CB
10103,Sherrick McManis,2021,FA,DEF,S,Sherrick McManis FA S
10143,Steve McLendon,2021,TBB,DEF,DT,Steve McLendon TBB DT
10143,Steve McLendon,2022,FA,DEF,DT,Steve McLendon FA DT
10149,Tramaine Brock,2021,FA,DEF,CB,Tramaine Brock FA CB
10220,Andrew Sendejo,2021,IND,DEF,S,Andrew Sendejo IND S
10220,Andrew Sendejo,2022,FA,DEF,S,Andrew Sendejo FA S
10260,Patrick Peterson,2021,MIN,DEF,CB,Patrick Peterson MIN CB
10260,Patrick Peterson,2022,MIN,DEF,CB,Patrick Peterson MIN CB
10260,Patrick Peterson,2023,PIT,DEF,CB,Patrick Peterson PIT CB
10261,AJ Green,2021,ARI,OFF,WR,AJ Green ARI WR
10261,AJ Green,2022,ARI,OFF,WR,AJ Green ARI WR
10261,AJ Green,2023,FA,OFF,WR,AJ Green FA WR
10262,Blaine Gabbert,2021,TBB,OFF,QB,Blaine Gabbert TBB QB
10262,Blaine Gabbert,2022,TBB,OFF,QB,Blaine Gabbert TBB QB
10262,Blaine Gabbert,2023,KCC,OFF,QB,Blaine Gabbert KCC QB
10263,Adrian Clayborn,2021,FA,DEF,DE,Adrian Clayborn FA DE
10264,Prince Amukamara,2021,FA,DEF,CB,Prince Amukamara FA CB
10265,Marcell Dareus,2021,FA,DEF,DT,Marcell Dareus FA DT
10266,Cameron Heyward,2021,PIT,DEF,DT,Cameron Heyward PIT DT
10266,Cameron Heyward,2022,PIT,DEF,DT,Cameron Heyward PIT DT
10266,Cameron Heyward,2023,PIT,DEF,DT,Cameron Heyward PIT DT
10267,Von Miller,2021,LAR,DEF,DE,Von Miller LAR DE
10267,Von Miller,2022,BUF,DEF,DE,Von Miller BUF DE
10267,Von Miller,2023,BUF,DEF,DE,Von Miller BUF DE
10269,Robert Quinn,2021,CHI,DEF,DE,Robert Quinn CHI DE
10269,Robert Quinn,2022,PHI,DEF,DE,Robert Quinn PHI DE
10269,Robert Quinn,2023,FA,DEF,DE,Robert Quinn FA DE
10271,Julio Jones,2021,TEN,OFF,WR,Julio Jones TEN WR
10271,Julio Jones,2022,TBB,OFF,WR,Julio Jones TBB WR
10271,Julio Jones,2023,PHI,OFF,WR,Julio Jones PHI WR
10272,JJ Watt,2021,ARI,DEF,DT,JJ Watt ARI DT
10272,JJ Watt,2022,ARI,DEF,DT,JJ Watt ARI DT
10272,JJ Watt,2023,FA,DEF,DT,JJ Watt FA DT
10273,Cam Newton,2021,CAR,OFF,QB,Cam Newton CAR QB
10273,Cam Newton,2022,FA,OFF,QB,Cam Newton FA QB
10273,Cam Newton,2023,FA,OFF,QB,Cam Newton FA QB
10274,Aldon Smith,2021,FA,DEF,DE,Aldon Smith FA DE
10274,Aldon Smith,2022,FA,DEF,DE,Aldon Smith FA DE
10275,Allen Bailey,2021,FA,DEF,DT,Allen Bailey FA DT
10276,Mark Ingram,2021,NOS,OFF,RB,Mark Ingram NOS RB
10276,Mark Ingram,2022,NOS,OFF,RB,Mark Ingram NOS RB
10276,Mark Ingram,2023,FA,OFF,RB,Mark Ingram FA RB
10277,Justin Houston,2021,BAL,DEF,DE,Justin Houston BAL DE
10277,Justin Houston,2022,BAL,DEF,DE,Justin Houston BAL DE
10277,Justin Houston,2023,MIA,DEF,DE,Justin Houston MIA DE
10280,Ryan Kerrigan,2021,PHI,DEF,DE,Ryan Kerrigan PHI DE
10280,Ryan Kerrigan,2022,FA,DEF,DE,Ryan Kerrigan FA DE
10285,Corey Liuget,2021,FA,DEF,DT,Corey Liuget FA DT
10292,Cameron Jordan,2021,NOS,DEF,DE,Cameron Jordan NOS DE
10292,Cameron Jordan,2022,NOS,DEF,DE,Cameron Jordan NOS DE
10292,Cameron Jordan,2023,NOS,DEF,DE,Cameron Jordan NOS DE
10294,Jimmy Smith,2021,BAL,DEF,CB,Jimmy Smith BAL CB
10294,Jimmy Smith,2022,FA,DEF,CB,Jimmy Smith FA CB
10297,Colin Kaepernick,2021,FA,OFF,QB,Colin Kaepernick FA QB
10297,Colin Kaepernick,2022,FA,OFF,QB,Colin Kaepernick FA QB
10297,Colin Kaepernick,2023,FA,OFF,QB,Colin Kaepernick FA QB
10308,Randall Cobb,2021,GBP,OFF,WR,Randall Cobb GBP WR
10308,Randall Cobb,2022,GBP,OFF,WR,Randall Cobb GBP WR
10308,Randall Cobb,2023,NYJ,OFF,WR,Randall Cobb NYJ WR
10312,Kyle Rudolph,2021,NYG,OFF,TE,Kyle Rudolph NYG TE
10312,Kyle Rudolph,2022,TBB,OFF,TE,Kyle Rudolph TBB TE
10312,Kyle Rudolph,2023,FA,OFF,TE,Kyle Rudolph FA TE
10313,Andy Dalton,2021,CHI,OFF,QB,Andy Dalton CHI QB
10313,Andy Dalton,2022,NOS,OFF,QB,Andy Dalton NOS QB
10313,Andy Dalton,2023,CAR,OFF,QB,Andy Dalton CAR QB
10315,Brooks Reed,2021,FA,DEF,DE,Brooks Reed FA DE
10320,Jabaal Sheard,2021,FA,DEF,DE,Jabaal Sheard FA DE
10320,Jabaal Sheard,2022,FA,DEF,DE,Jabaal Sheard FA DE
10324,Marcus Gilchrist,2021,FA,DEF,S,Marcus Gilchrist FA S
10335,Jurrell Casey,2021,FA,DEF,DT,Jurrell Casey FA DT
10350,KJ Wright,2021,LVR,DEF,LB,KJ Wright LVR LB
10350,KJ Wright,2022,FA,DEF,LB,KJ Wright FA LB
10354,Luke Stocker,2021,MIN,OFF,TE,Luke Stocker MIN TE
10354,Luke Stocker,2022,FA,OFF,TE,Luke Stocker FA TE
10368,Taiwan Jones,2021,BUF,OFF,RB,Taiwan Jones BUF RB
