QB Value,QB Team,RB Value,RB Team,WR Value,WR Team,TE Value,TE Team,DT Value,DT Team,DE Value,DE Team,LB Value,LB Team,CB Value,CB Team,S Value,S Team,DL Value,DL Team,DB Value,DB Team
1.3529411764705883,2021 DEN,2.111111111111111,2022 BAL,3.6315789473684212,2023 TBB,2.5,2023 ATL,3.235294117647059,2021 SEA,3.176470588235294,2023 IND,3.0,2021 PIT,3.9722222222222223,2023 PIT,3.6666666666666665,2023 DAL,5.473684210526316,2022 JAC,6.666666666666666,2023 DAL
1.2941176470588236,2021 NOS,2.025,2022 SFO,3.5350877192982457,2021 BUF,2.3823529411764706,2021 MIA,3.235294117647059,2023 ATL,3.1416666666666666,2022 KCC,2.8947368421052633,2022 DAL,3.55,2022 PHI,3.1666666666666665,2021 NEP,5.382352941176471,2023 CAR,6.027777777777778,2023 PIT
1.1176470588235294,2023 NOS,2.0,2023 SFO,3.5277777777777777,2023 DAL,2.088235294117647,2022 TEN,3.176470588235294,2021 WAS,3.0,2023 TEN,2.888888888888889,2022 LAC,3.5,2022 IND,3.0555555555555554,2022 BAL,5.333333333333334,2022 MIA,5.842105263157895,2022 DAL
1.1176470588235294,2021 HOU,1.975,2021 SFO,3.5166666666666666,2021 KCC,2.088235294117647,2022 NOS,3.176470588235294,2022 ARI,2.9411764705882355,2021 BAL,2.8823529411764706,2022 ARI,3.456140350877193,2023 TBB,3.0,2023 MIN,5.3235294117647065,2021 JAC,5.647058823529411,2022 NEP
1.0588235294117647,2023 CIN,1.911764705882353,2021 BAL,3.5,2022 CHI,2.0294117647058822,2021 LAC,3.166666666666667,2023 CHI,2.9411764705882355,2023 MIN,2.789473684210526,2023 BAL,3.4166666666666665,2022 BUF,2.95,2023 DET,5.294117647058823,2022 ATL,5.617647058823529,2021 NOS
1.0588235294117647,2022 LAR,1.7647058823529411,2021 MIN,3.5,2021 ARI,1.9705882352941178,2021 CLE,3.1470588235294117,2023 CAR,2.9,2021 SFO,2.735294117647059,2022 NYJ,3.411764705882353,2023 TEN,2.9473684210526314,2022 DAL,5.294117647058823,2021 SEA,5.6,2021 SFO
1.0588235294117647,2022 NEP,1.7058823529411764,2023 CHI,3.4473684210526314,2023 GBP,1.9607843137254903,2022 ATL,3.1176470588235294,2022 PIT,2.8947368421052633,2022 JAC,2.65,2023 DET,3.411764705882353,2022 CAR,2.8823529411764706,2022 NEP,5.2745098039215685,2021 BAL,5.527777777777778,2021 NEP
1.0588235294117647,2022 NYJ,1.6578947368421053,2022 DAL,3.411764705882353,2022 LAR,1.95,2022 KCC,3.111111111111111,2023 LAR,2.8666666666666667,2022 SFO,2.416666666666667,2022 SFO,3.392156862745098,2021 BAL,2.8529411764705883,2022 WAS,5.235294117647059,2023 MIN,5.472222222222222,2021 DAL
1.0588235294117647,2023 ATL,1.6578947368421053,2023 BAL,3.3823529411764706,2023 NYG,1.9444444444444444,2022 SEA,3.0555555555555554,2022 SEA,2.8333333333333335,2023 CLE,2.4,2021 KCC,3.3823529411764706,2021 HOU,2.803921568627451,2021 NYG,5.1764705882352935,2022 DEN,5.447368421052632,2022 NYG
1.0588235294117647,2023 CHI,1.6481481481481481,2022 MIA,3.3529411764705883,2021 NYJ,1.9411764705882353,2023 JAC,3.0294117647058822,2022 DEN,2.7870370370370368,2022 MIN,2.3529411764705883,2022 PIT,3.3823529411764706,2023 CIN,2.7941176470588234,2021 DET,5.156862745098039,2023 ARI,5.416666666666666,2022 BUF
1.0588235294117647,2023 WAS,1.6470588235294117,2022 CLE,3.3529411764705883,2021 CHI,1.9411764705882353,2023 MIN,3.0,2022 TBB,2.735294117647059,2023 NYJ,2.3529411764705883,2022 CLE,3.3529411764705883,2022 DET,2.764705882352941,2021 WAS,5.131578947368421,2022 CIN,5.411764705882353,2023 CIN
1.0588235294117647,2023 LAC,1.6388888888888888,2023 MIA,3.3333333333333335,2022 TBB,1.911764705882353,2023 NEP,2.980392156862745,2022 GBP,2.7058823529411766,2021 NOS,2.3421052631578947,2023 HOU,3.2941176470588234,2021 NYJ,2.7058823529411766,2022 TEN,5.117647058823529,2021 ATL,5.382352941176471,2022 WAS
1.0588235294117647,2023 LVR,1.6176470588235294,2022 GBP,3.3055555555555554,2022 BUF,1.911764705882353,2021 SEA,2.9722222222222223,2021 TEN,2.7,2023 DET,2.3333333333333335,2021 ARI,3.235294117647059,2021 IND,2.7,2022 SFO,5.111111111111111,2023 LAR,5.372549019607844,2022 DET
1.0588235294117647,2021 CHI,1.588235294117647,2022 LVR,3.2962962962962963,2023 LAR,1.8888888888888888,2021 TEN,2.9705882352941178,2023 ARI,2.676470588235294,2022 ATL,2.333333333333333,2022 LAR,3.196078431372549,2023 ARI,2.6666666666666665,2023 LAR,5.098039215686274,2022 GBP,5.352941176470589,2022 LVR
1.0588235294117647,2021 CAR,1.588235294117647,2023 TEN,3.2941176470588234,2021 DET,1.8888888888888888,2022 LAC,2.880952380952381,2021 LAR,2.676470588235294,2022 IND,2.3137254901960786,2022 NOS,3.1470588235294117,2023 NEP,2.588235294117647,2022 LVR,5.098039215686274,2021 NYG,5.352941176470588,2022 CAR
1.0588235294117647,2022 ARI,1.5833333333333333,2023 CLE,3.2857142857142856,2021 LAR,1.8823529411764706,2021 IND,2.872549019607843,2022 DET,2.676470588235294,2022 CHI,2.3055555555555554,2023 CLE,3.1176470588235294,2023 LVR,2.5714285714285716,2023 KCC,5.068627450980392,2021 MIA,5.285714285714286,2021 LAR
1.0555555555555556,2023 CLE,1.5588235294117647,2021 WAS,3.2777777777777777,2021 LVR,1.8823529411764706,2021 CAR,2.861111111111111,2023 PIT,2.6666666666666665,2023 KCC,2.3055555555555554,2021 DAL,3.1052631578947367,2023 BUF,2.5294117647058822,2021 ATL,5.0588235294117645,2021 LAC,5.264705882352941,2021 IND
1.0555555555555556,2022 MIN,1.5588235294117647,2021 NOS,3.264705882352941,2022 NEP,1.8823529411764706,2023 NOS,2.8425925925925926,2023 PHI,2.6578947368421053,2023 BUF,2.264705882352941,2021 MIN,3.1,2021 SFO,2.5294117647058822,2021 NOS,5.0588235294117645,2023 DEN,5.2631578947368425,2023 BUF
1.0555555555555556,2023 PHI,1.5555555555555556,2023 PHI,3.25,2023 MIA,1.8529411764705883,2022 IND,2.8421052631578947,2023 GBP,2.6176470588235294,2021 JAC,2.235294117647059,2023 WAS,3.0925925925925926,2022 MIN,2.5,2021 DAL,5.055555555555555,2022 SEA,5.25,2021 KCC
1.0555555555555556,2021 ARI,1.5196078431372548,2021 DEN,3.25,2021 PIT,1.8431372549019607,2023 NYJ,2.8333333333333335,2021 GBP,2.611111111111111,2023 DAL,2.235294117647059,2021 HOU,3.088235294117647,2021 NOS,2.5,2021 SFO,5.05,2022 PHI,5.235294117647059,2021 WAS
1.0555555555555556,2021 GBP,1.5,2022 DEN,3.236842105263158,2023 BAL,1.8235294117647058,2022 PIT,2.8333333333333335,2021 ARI,2.611111111111111,2021 DAL,2.2222222222222223,2021 PHI,3.0789473684210527,2022 NYG,2.473684210526316,2023 BAL,5.049019607843137,2023 TEN,5.235294117647059,2023 ATL
1.0526315789473684,2023 HOU,1.5,2023 CAR,3.235294117647059,2021 ATL,1.8235294117647058,2023 IND,2.823529411764706,2023 NOS,2.611111111111111,2022 MIA,2.2222222222222223,2021 LVR,3.0588235294117645,2021 CLE,2.4722222222222223,2022 TBB,5.0476190476190474,2021 LAR,5.235294117647059,2021 CAR
1.05,2022 SFO,1.5,2022 NYG,3.235294117647059,2022 ARI,1.8235294117647058,2023 CIN,2.823529411764706,2021 LAC,2.588235294117647,2021 ATL,2.1904761904761907,2023 KCC,3.0555555555555554,2021 PHI,2.3684210526315788,2022 NYG,5.035087719298247,2023 TBB,5.205882352941177,2023 MIN
1.0294117647058822,2021 NYG,1.4901960784313726,2022 ATL,3.2058823529411766,2023 DEN,1.8235294117647058,2023 LAC,2.823529411764706,2021 CHI,2.5350877192982453,2021 BUF,2.176470588235294,2022 CHI,3.0555555555555554,2021 LVR,2.3529411764705883,2021 JAC,5.029411764705882,2023 NYJ,5.190476190476191,2023 KCC
1.0294117647058822,2023 NYG,1.4736842105263157,2023 HOU,3.1944444444444446,2021 NEP,1.8095238095238095,2023 KCC,2.823529411764706,2021 NYG,2.5294117647058822,2023 LVR,2.176470588235294,2023 NEP,3.0526315789473686,2023 GBP,2.35,2021 KCC,5.029411764705882,2021 CHI,5.1764705882352935,2023 WAS
1.0294117647058822,2022 CAR,1.4722222222222223,2022 BUF,3.176470588235294,2021 JAC,1.8095238095238095,2021 CIN,2.8070175438596494,2023 TBB,2.526315789473684,2022 CIN,2.176470588235294,2022 CAR,3.0476190476190474,2021 LAR,2.3157894736842106,2021 TBB,5.027777777777778,2022 TBB,5.1764705882352935,2021 CLE
