QB Value,QB Team,RB Value,RB Team,WR Value,WR Team,TE Value,TE Team,DT Value,DT Team,DE Value,DE Team,LB Value,LB Team,CB Value,CB Team,S Value,S Team,DL Value,DL Team,DB Value,DB Team
1.375,2021 DEN,1.6875,2022 CLE,3.625,2023 TBB,2.53125,2023 ATL,3.25,2021 SEA,3.1875,2023 IND,2.9375,2022 LAC,3.625,2022 PHI,3.625,2023 DAL,5.5,2022 JAC,6.625,2023 DAL
1.25,2021 NOS,1.625,2022 DAL,3.59375,2023 DAL,2.34375,2021 MIA,3.1875,2023 ATL,3.1145833333333335,2022 KCC,2.875,2022 DAL,3.53125,2022 IND,3.25,2021 NEP,5.40625,2023 CAR,5.875,2022 DAL
1.125,2023 NOS,1.625,2022 LVR,3.5625,2023 BAL,2.09375,2021 LAC,3.15625,2023 CAR,3.0,2023 MIN,2.8125,2022 ARI,3.5,2022 CAR,3.0,2022 BAL,5.375,2022 MIA,5.6875,2022 NEP
1.125,2021 HOU,1.625,2023 CHI,3.53125,2022 CHI,2.09375,2022 TEN,3.125,2021 WAS,3.0,2023 TEN,2.75,2023 BAL,3.4375,2023 TBB,3.0,2023 MIN,5.34375,2021 JAC,5.6875,2021 SFO
1.0625,2023 ATL,1.625,2023 PHI,3.5,2021 ARI,2.09375,2022 BAL,3.125,2022 ARI,2.9375,2021 BAL,2.71875,2022 NYJ,3.433333333333333,2022 BUF,2.9375,2022 NEP,5.3125,2022 ATL,5.65625,2021 NOS
1.0625,2022 ARI,1.59375,2022 GBP,3.5,2023 MIA,2.09375,2022 NOS,3.125,2023 LAR,2.90625,2021 SFO,2.6875,2023 DET,3.4166666666666665,2021 BAL,2.875,2022 DAL,5.3125,2021 SEA,5.59375,2021 NEP
1.0625,2022 BAL,1.59375,2023 CLE,3.4791666666666665,2021 BUF,1.96875,2021 CLE,3.1145833333333335,2023 CHI,2.875,2023 CLE,2.375,2021 KCC,3.40625,2023 CIN,2.84375,2022 WAS,5.291666666666666,2021 BAL,5.46875,2021 DAL
1.0625,2022 LAR,1.59375,2021 WAS,3.4583333333333335,2021 KCC,1.9583333333333333,2022 ATL,3.03125,2023 ARI,2.875,2022 JAC,2.375,2022 SFO,3.40625,2021 HOU,2.8125,2023 DET,5.197916666666666,2021 MIA,5.4375,2022 CAR
1.0625,2022 NEP,1.59375,2023 TEN,3.4375,2022 LAR,1.9375,2022 SEA,3.03125,2022 DEN,2.8125,2022 SFO,2.375,2022 PIT,3.375,2022 DET,2.7916666666666665,2021 NYG,5.1875,2023 MIN,5.4375,2023 CIN
1.0625,2022 NYJ,1.53125,2023 CAR,3.40625,2023 NYG,1.9375,2022 KCC,3.03125,2022 SEA,2.78125,2022 MIN,2.375,2021 ARI,3.375,2023 TEN,2.78125,2021 DET,5.1875,2022 DEN,5.40625,2022 WAS
1.0625,2021 ARI,1.53125,2021 NOS,3.3666666666666667,2022 BUF,1.9375,2023 MIN,2.96875,2021 TEN,2.71875,2022 IND,2.34375,2023 HOU,3.25,2021 IND,2.75,2021 WAS,5.166666666666666,2023 ARI,5.395833333333334,2022 DET
1.0625,2023 CHI,1.5208333333333333,2022 ATL,3.34375,2023 GBP,1.9375,2021 TEN,2.9375,2022 TBB,2.71875,2023 NYJ,2.34375,2021 DAL,3.2083333333333335,2023 ARI,2.6875,2022 TEN,5.125,2023 LAR,5.366666666666666,2022 BUF
1.0625,2023 CIN,1.5208333333333333,2023 LAR,3.3125,2021 LVR,1.9375,2023 JAC,2.9166666666666665,2022 GBP,2.71875,2023 BUF,2.3125,2022 CLE,3.125,2021 LAR,2.625,2021 SFO,5.104166666666666,2021 NYG,5.34375,2022 NYG
1.0625,2023 CLE,1.4895833333333333,2021 DEN,3.3125,2021 LAR,1.90625,2021 SEA,2.90625,2023 PIT,2.6875,2023 KCC,2.3125,2021 PHI,3.125,2023 LVR,2.625,2023 LAR,5.104166666666666,2022 GBP,5.3125,2022 LVR
