player_id,player_mfl,season,team,side,pos,join_string
0800,Sterling Weatherford,2022,IND,DEF,S,Sterling Weatherford IND S
0802,Lucas Krull,2022,NOS,OFF,TE,Lucas Krull NOS TE
0803,Luiji Vilain,2022,MIN,DEF,DE,Luiji Vilain MIN DE
10143,Steve McLendon,2022,FA,DEF,DT,Steve McLendon FA DT
10220,Andrew Sendejo,2022,FA,DEF,S,Andrew Sendejo FA S
10260,Patrick Peterson,2022,MIN,DEF,CB,Patrick Peterson MIN CB
10260,Patrick Peterson,2023,PIT,DEF,CB,Patrick Peterson PIT CB
10260,Patrick Peterson,2024,FA,DEF,CB,Patrick Peterson FA CB
10261,AJ Green,2022,ARI,OFF,WR,AJ Green ARI WR
10261,AJ Green,2023,FA,OFF,WR,AJ Green FA WR
10262,Blaine Gabbert,2022,TBB,OFF,QB,Blaine Gabbert TBB QB
10262,Blaine Gabbert,2023,KCC,OFF,QB,Blaine Gabbert KCC QB
10262,Blaine Gabbert,2024,FA,OFF,QB,Blaine Gabbert FA QB
10266,Cameron Heyward,2022,PIT,DEF,DT,Cameron Heyward PIT DT
10266,Cameron Heyward,2023,PIT,DEF,DT,Cameron Heyward PIT DT
10266,Cameron Heyward,2024,PIT,DEF,DT,Cameron Heyward PIT DT
10267,Von Miller,2022,BUF,DEF,DE,Von Miller BUF DE
10267,Von Miller,2023,BUF,DEF,DE,Von Miller BUF DE
10267,Von Miller,2024,BUF,DEF,DE,Von Miller BUF DE
10269,Robert Quinn,2022,PHI,DEF,DE,Robert Quinn PHI DE
10269,Robert Quinn,2023,FA,DEF,DE,Robert Quinn FA DE
10269,Robert Quinn,2024,FA,DEF,DE,Robert Quinn FA DE
10271,Julio Jones,2022,TBB,OFF,WR,Julio Jones TBB WR
10271,Julio Jones,2023,PHI,OFF,WR,Julio Jones PHI WR
10271,Julio Jones,2024,FA,OFF,WR,Julio Jones FA WR
10272,JJ Watt,2022,ARI,DEF,DT,JJ Watt ARI DT
10272,JJ Watt,2023,FA,DEF,DT,JJ Watt FA DT
10273,Cam Newton,2022,FA,OFF,QB,Cam Newton FA QB
10273,Cam Newton,2023,FA,OFF,QB,Cam Newton FA QB
10273,Cam Newton,2024,FA,OFF,QB,Cam Newton FA QB
10274,Aldon Smith,2022,FA,DEF,DE,Aldon Smith FA DE
10276,Mark Ingram,2022,NOS,OFF,RB,Mark Ingram NOS RB
10276,Mark Ingram,2023,FA,OFF,RB,Mark Ingram FA RB
10276,Mark Ingram,2024,FA,OFF,RB,Mark Ingram FA RB
10277,Justin Houston,2022,BAL,DEF,DE,Justin Houston BAL DE
10277,Justin Houston,2023,MIA,DEF,DE,Justin Houston MIA DE
10277,Justin Houston,2024,FA,DEF,DE,Justin Houston FA DE
10280,Ryan Kerrigan,2022,FA,DEF,DE,Ryan Kerrigan FA DE
10292,Cameron Jordan,2022,NOS,DEF,DE,Cameron Jordan NOS DE
10292,Cameron Jordan,2023,NOS,DEF,DE,Cameron Jordan NOS DE
10292,Cameron Jordan,2024,NOS,DEF,DE,Cameron Jordan NOS DE
10294,Jimmy Smith,2022,FA,DEF,CB,Jimmy Smith FA CB
10297,Colin Kaepernick,2022,FA,OFF,QB,Colin Kaepernick FA QB
10297,Colin Kaepernick,2023,FA,OFF,QB,Colin Kaepernick FA QB
10297,Colin Kaepernick,2024,FA,OFF,QB,Colin Kaepernick FA QB
10308,Randall Cobb,2022,GBP,OFF,WR,Randall Cobb GBP WR
10308,Randall Cobb,2023,NYJ,OFF,WR,Randall Cobb NYJ WR
10308,Randall Cobb,2024,FA,OFF,WR,Randall Cobb FA WR
10312,Kyle Rudolph,2022,TBB,OFF,TE,Kyle Rudolph TBB TE
10312,Kyle Rudolph,2023,FA,OFF,TE,Kyle Rudolph FA TE
10313,Andy Dalton,2022,NOS,OFF,QB,Andy Dalton NOS QB
10313,Andy Dalton,2023,CAR,OFF,QB,Andy Dalton CAR QB
10313,Andy Dalton,2024,CAR,OFF,QB,Andy Dalton CAR QB
10320,Jabaal Sheard,2022,FA,DEF,DE,Jabaal Sheard FA DE
10350,KJ Wright,2022,FA,DEF,LB,KJ Wright FA LB
10354,Luke Stocker,2022,FA,OFF,TE,Luke Stocker FA TE
10368,Taiwan Jones,2022,BUF,OFF,RB,Taiwan Jones BUF RB
10368,Taiwan Jones,2023,FA,OFF,RB,Taiwan Jones FA RB
10379,Buster Skrine,2022,FA,DEF,CB,Buster Skrine FA CB
10389,Dion Lewis,2022,FA,OFF,RB,Dion Lewis FA RB
10393,Richard Sherman,2022,FA,DEF,CB,Richard Sherman FA CB
10398,Lee Smith,2022,FA,OFF,TE,Lee Smith FA TE
10402,Pernell McPhee,2022,FA,DEF,DE,Pernell McPhee FA DE
10413,Tyrod Taylor,2022,NYG,OFF,QB,Tyrod Taylor NYG QB
10413,Tyrod Taylor,2023,NYG,OFF,QB,Tyrod Taylor NYG QB
10413,Tyrod Taylor,2024,NYJ,OFF,QB,Tyrod Taylor NYJ QB
10457,Lawrence Guy,2022,NEP,DEF,DT,Lawrence Guy NEP DT
10457,Lawrence Guy,2023,NEP,DEF,DT,Lawrence Guy NEP DT
10457,Lawrence Guy,2024,FA,DEF,DT,Lawrence Guy FA DT
10465,Malcolm Smith,2022,FA,DEF,LB,Malcolm Smith FA LB
10514,Nick Bellore,2022,SEA,OFF,RB,Nick Bellore SEA RB
10514,Nick Bellore,2023,SEA,OFF,RB,Nick Bellore SEA RB
10514,Nick Bellore,2024,WAS,OFF,RB,Nick Bellore WAS RB
10554,Mario Addison,2022,HOU,DEF,DE,Mario Addison HOU DE
10554,Mario Addison,2023,FA,DEF,DE,Mario Addison FA DE
10592,Chris Harris,2022,NOS,DEF,CB,Chris Harris NOS CB
10592,Chris Harris,2023,FA,DEF,CB,Chris Harris FA CB
10653,Josh Bynes,2022,FA,DEF,LB,Josh Bynes FA LB
10653,Josh Bynes,2023,FA,DEF,LB,Josh Bynes FA LB
10695,Andrew Luck,2022,FA,OFF,QB,Andrew Luck FA QB
